Date,Winner,WeightClass,Gender,Finish,RedFighter,BlueFighter,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAge,BlueAge,FinishRound,TotalFightTimeSecs,RedAvgSigStrLanded,BlueAvgSigStrLanded,RedAvgTDLanded,BlueAvgTDLanded,RedOdds,BlueOdds,Year,WinnerHeight,WinnerReach,WinnerAvgStrikes,WinnerAvgTD,WinnerAge,WinnerAgeDiff,BettingResult
,Red,Heavyweight,MALE,KO/TKO,Kennedy Nzechukwu,Chris Barnett,196,175,211,190,32,38,1.0,267.0,5.34,4.21,0.58,0.0,-8000.0,5500.0,,196,211,5.34,0.58,32,-6,Favorite
,Red,Featherweight,MALE,U-DEC,Farid Basharat,Victor Hugo,173,170,180,180,27,31,3.0,900.0,4.36,3.27,3.97,0.81,-5750.0,4250.0,,173,180,4.36,3.97,27,-4,Favorite
,Red,Middleweight,MALE,U-DEC,Ismail Naurdiev,Bruno Silva,178,183,188,188,28,35,3.0,900.0,3.41,3.85,0.16,0.78,-1480.0,1240.0,,178,188,3.41,0.16,28,-7,Favorite
,Red,Welterweight,MALE,U-DEC,Rinat Fakhretdinov,Carlos Leal,183,180,188,188,33,30,3.0,900.0,4.78,7.13,3.95,0.1,-2180.0,1800.0,,183,188,4.78,3.95,33,3,Favorite
,Red,Middleweight,MALE,KO/TKO,Anthony Hernandez,Michel Pereira,183,185,190,185,31,31,5.0,1342.0,4.9,4.46,6.64,1.27,-1620.0,1360.0,,183,190,4.9,6.64,31,0,Favorite
,Red,Bantamweight,MALE,U-DEC,Rob Font,Kyler Phillips,173,173,180,183,37,29,3.0,900.0,5.44,5.28,0.84,2.63,4550.0,-6250.0,,173,180,5.44,0.84,37,8,Underdog
,Red,Flyweight,MALE,U-DEC,Charles Johnson,Sumudaerji,175,173,178,183,33,28,3.0,900.0,4.77,4.72,0.56,0.23,-3050.0,2450.0,,175,178,4.77,0.56,33,5,Favorite
,Blue,Bantamweight,MALE,U-DEC,Jake Hadley,Cameron Smotherman,170,175,178,175,28,27,3.0,900.0,3.8,6.25,0.33,0.0,-5750.0,4250.0,,175,175,6.25,0.0,27,-1,Underdog
,Red,Featherweight,MALE,U-DEC,Darren Elkins,Daniel Pineda,178,170,180,175,40,39,3.0,900.0,3.4,2.85,2.86,1.42,-1700.0,1420.0,,178,180,3.4,2.86,40,1,Favorite
,Blue,Flyweight,MALE,U-DEC,Matheus Nicolau,Asu Almabayev,168,163,168,165,31,30,3.0,900.0,3.31,2.11,1.22,5.08,2050.0,-2500.0,,163,165,2.11,5.08,30,-1,Favorite
,Blue,Bantamweight,MALE,U-DEC,Brad Katona,Jean Matsumoto,168,168,163,173,32,25,3.0,900.0,4.84,5.2,1.88,1.13,1700.0,-2050.0,,168,173,5.2,1.13,25,-7,Favorite
,Red,Women's Bantamweight,FEMALE,SUB,Joselyne Edwards,Tamires Vidal,173,168,178,173,29,26,3.0,873.0,4.48,2.91,1.23,0.0,-2580.0,2100.0,,173,178,4.48,1.23,29,3,Favorite
,Blue,Women's Strawweight,FEMALE,U-DEC,Jessica Penne,Elise Reed,165,160,170,160,41,31,3.0,900.0,2.63,3.5,1.29,0.49,1900.0,-2300.0,,160,160,3.5,0.49,31,-10,Favorite
,Red,Women's Strawweight,FEMALE,U-DEC,Melissa Martinez,Alice Ardelean,157,160,168,157,27,32,3.0,900.0,3.9,4.97,0.05,0.1,-1550.0,1300.0,,157,168,3.9,0.05,27,-5,Favorite
,Red,Heavyweight,MALE,U-DEC,Austen Lane,Robelis Despaigne,198,201,203,213,36,36,3.0,900.0,2.47,2.11,2.03,0.0,3300.0,-4250.0,,198,203,2.47,2.03,36,0,Underdog
2024-12-10,Red,Flyweight,MALE,S-DEC,Brandon Royval,Tatsuro Taira,175,170,173,178,32,24,5.0,1500.0,4.46,2.99,0.75,2.73,,,2024.0,175,173,4.46,0.75,32,8,Unknown
2024-12-10,Blue,Middleweight,MALE,S-DEC,Brad Tavares,JunYong Park,185,178,188,185,36,33,3.0,900.0,3.43,4.77,0.74,1.85,,,2024.0,178,185,4.77,1.85,33,-3,Unknown
2024-12-10,Red,Welterweight,MALE,U-DEC,Chidi Njokuani,Jared Gooden,190,183,203,196,35,30,3.0,900.0,4.59,4.4,0.0,0.91,,,2024.0,190,203,4.59,0.0,35,5,Unknown
2024-12-10,Red,Lightweight,MALE,KO/TKO,Grant Dawson,Rafa Garcia,178,170,183,178,30,30,2.0,402.0,3.15,3.97,3.65,3.38,-3800.0,3000.0,2024.0,178,183,3.15,3.65,30,0,Favorite
2024-12-10,Red,Welterweight,MALE,S-DEC,Daniel Rodriguez,Alex Morono,185,180,188,183,37,34,3.0,900.0,7.5,4.96,0.59,0.34,-2450.0,2000.0,2024.0,185,188,7.5,0.59,37,3,Favorite
2024-12-10,Blue,Flyweight,MALE,KO/TKO,CJ Vergara,Ramazan Temirov,168,163,173,160,33,27,1.0,170.0,5.1,8.12,0.0,0.0,2400.0,-2980.0,2024.0,163,160,8.12,0.0,27,-6,Favorite
2024-12-10,Blue,Featherweight,MALE,SUB,Jonathan Pearce,Pat Sabatini,183,173,180,178,32,33,1.0,246.0,5.12,1.94,5.02,3.97,-1800.0,1500.0,2024.0,173,178,1.94,3.97,33,1,Underdog
2024-12-10,Red,Welterweight,MALE,U-DEC,Themba Gorimbo,Niko Price,185,183,196,193,33,35,3.0,900.0,3.11,5.21,4.89,1.04,-2900.0,2350.0,2024.0,185,196,3.11,4.89,33,-2,Favorite
2024-12-10,Red,Heavyweight,MALE,KO/TKO,Junior Tafa,Sean Sharaf,190,190,190,196,28,31,2.0,435.0,3.36,7.31,0.0,2.07,-2380.0,1950.0,2024.0,190,190,3.36,0.0,28,-3,Favorite
2024-12-10,Red,Women's Strawweight,FEMALE,S-DEC,Julia Polastri,Cory McKenna,157,160,160,147,26,25,3.0,900.0,5.57,2.94,1.11,0.2,-1080.0,-1120.0,2024.0,157,160,5.57,1.11,26,1,Underdog
2024-12-10,Blue,Bantamweight,MALE,U-DEC,Dan Argueta,Cody Haddon,170,170,173,175,31,26,3.0,900.0,2.48,9.2,4.36,2.48,1240.0,-1480.0,2024.0,170,175,9.2,2.48,26,-5,Favorite
2024-12-10,Red,Flyweight,MALE,SUB,Clayton Carpenter,Lucas Rocha,168,160,168,163,28,24,2.0,432.0,4.56,2.0,2.95,0.0,-2450.0,2000.0,2024.0,168,168,4.56,2.95,28,4,Favorite
2024-05-10,Red,Light Heavyweight,MALE,KO/TKO,Alex Pereira,Khalil Rountree Jr.,193,185,201,193,37,34,4.0,1172.0,5.46,3.73,0.14,0.0,-4250.0,3300.0,2024.0,193,201,5.46,0.14,37,3,Favorite
2024-05-10,Blue,Women's Bantamweight,FEMALE,S-DEC,Raquel Pennington,Julianna Pena,170,168,170,175,36,35,5.0,1500.0,4.1,3.25,0.83,1.81,-1550.0,1300.0,2024.0,168,175,3.25,1.81,35,-1,Underdog
2024-05-10,Blue,Bantamweight,MALE,S-DEC,Jose Aldo,Mario Bautista,170,175,178,175,38,31,3.0,900.0,3.62,5.33,0.49,1.92,1020.0,-1220.0,2024.0,175,175,5.33,1.92,31,-7,Favorite
2024-05-10,Red,Middleweight,MALE,KO/TKO,Roman Dolidze,Kevin Holland,188,190,193,206,36,31,1.0,300.0,3.16,4.24,1.33,0.83,1240.0,-1480.0,2024.0,188,193,3.16,1.33,36,5,Underdog
2024-05-10,Blue,Women's Bantamweight,FEMALE,U-DEC,Ketlen Vieira,Kayla Harrison,173,173,173,168,33,34,3.0,900.0,2.92,4.87,1.39,2.75,7000.0,-11000.0,2024.0,173,168,4.87,2.75,34,1,Favorite
2024-05-10,Blue,Welterweight,MALE,KO/TKO,Stephen Thompson,Joaquin Buckley,183,178,190,193,41,30,3.0,737.0,4.11,4.13,0.25,1.96,1850.0,-2250.0,2024.0,178,193,4.13,1.96,30,-11,Favorite
2024-05-10,Blue,Women's Strawweight,FEMALE,S-DEC,Marina Rodriguez,Iasmin Lucindo,168,160,165,168,37,22,3.0,900.0,4.64,3.52,0.28,0.24,1540.0,-1850.0,2024.0,160,168,3.52,0.24,22,-15,Favorite
2024-05-10,Blue,Lightweight,MALE,S-DEC,Austin Hubbard,Alexander Hernandez,178,175,180,183,32,32,3.0,900.0,4.12,4.43,1.54,0.95,-1120.0,-1080.0,2024.0,175,183,4.43,0.95,32,0,Underdog
2024-05-10,Red,Middleweight,MALE,U-DEC,Cesar Almeida,Ihor Potieria,185,190,188,190,36,28,3.0,900.0,4.12,4.57,0.0,0.77,-5000.0,3800.0,2024.0,185,188,4.12,0.0,36,8,Favorite
2024-05-10,Red,Light Heavyweight,MALE,SUB,Ryan Spann,Ovince Saint Preux,196,190,201,203,33,41,1.0,95.0,3.3,3.03,1.32,1.09,,,2024.0,196,201,3.3,1.32,33,-8,Unknown
2024-05-10,Blue,Women's Strawweight,FEMALE,U-DEC,Carla Esparza,Tecia Pennington,155,155,160,152,36,35,3.0,900.0,2.19,4.82,3.28,0.57,,,2024.0,155,152,4.82,0.57,35,-1,Unknown
2024-05-10,Red,Welterweight,MALE,SUB,Court McGee,Tim Means,180,188,190,190,39,40,1.0,199.0,4.6,5.04,1.87,1.14,,,2024.0,180,190,4.6,1.87,39,-1,Unknown
,Red,Lightweight,MALE,KO/TKO,Renato Moicano,Benoit Saint Denis,180,180,183,185,35,28,2.0,600.0,4.42,5.17,1.87,3.97,2100.0,-2580.0,,180,183,4.42,1.87,35,7,Underdog
,Red,Middleweight,MALE,U-DEC,Nassourdine Imavov,Brendan Allen,190,188,190,190,29,28,3.0,900.0,4.51,3.79,0.88,1.67,-2250.0,1850.0,,190,190,4.51,0.88,29,1,Favorite
,Red,Featherweight,MALE,S-DEC,William Gomis,Joanderson Brito,183,173,185,183,27,29,3.0,900.0,2.69,3.02,0.78,3.08,2450.0,-3050.0,,183,185,2.69,0.78,27,-2,Underdog
